nr_simulation	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	13.208043	-245.646037
1	d0.86_t0.11_time500000_gamma-0.5	-3.911644	-211.527985
2	d0.9_t0.11_time500000_gamma-0.5	-8.385175	-204.373309
3	d0.8_t0.11_time500000_gamma-0.5	3.610234	-219.754228
4	d0.72_t0.11_time500000_gamma-0.5	-3645.998601	376.193838
5	d0.82_t0.11_time500000_gamma-0.5	-2.933534	-217.692303
6	d0.78_t0.11_time500000_gamma-0.5	10.343469	-261.898926
7	d0.74_t0.11_time500000_gamma-0.5	-1426.828952	-73.154526
8	d0.84_t0.11_time500000_gamma-0.5	-3.489440	-197.262741
9	d0.88_t0.11_time500000_gamma-0.5	-5.322789	-208.869776
10	d0.7_t0.11_time500000_gamma-0.5	-5297.104438	1206.057778
